date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:17	49/49	---M--	200	added ('OK')	text/plain	date:Mon,%2003%20Jul%202017%2009:22:00%20GMT	http://www.ansonika.com/robots.txt		(from )
14:35:17	111556/111556	---M-Z	200	added ('OK')	text/html	etag:%221b3c4-5c2c129793694-gzip%22	http://www.ansonika.com/citytours/	www.ansonika.com/citytours/index.html	(from )
14:35:18	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257e-5c29946b06b14%22	http://www.ansonika.com/citytours/img/favicon.ico	www.ansonika.com/citytours/img/favicon.ico	(from http://www.ansonika.com/citytours/)
14:35:19	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5c29945a1b656%22	http://www.ansonika.com/citytours/img/apple-touch-icon-57x57-precomposed.png	www.ansonika.com/citytours/img/apple-touch-icon-57x57-precomposed.png	(from http://www.ansonika.com/citytours/)
14:35:20	1566/1566	---M--	200	added ('OK')	image/png	etag:%2261e-5c29945ade522%22	http://www.ansonika.com/citytours/img/apple-touch-icon-72x72-precomposed.png	www.ansonika.com/citytours/img/apple-touch-icon-72x72-precomposed.png	(from http://www.ansonika.com/citytours/)
14:35:21	1771/1771	---M--	200	added ('OK')	image/png	etag:%226eb-5c299459421f7%22	http://www.ansonika.com/citytours/img/apple-touch-icon-114x114-precomposed.png	www.ansonika.com/citytours/img/apple-touch-icon-114x114-precomposed.png	(from http://www.ansonika.com/citytours/)
14:35:22	1955/1955	---M--	200	added ('OK')	image/png	etag:%227a3-5c29945a0f73e%22	http://www.ansonika.com/citytours/img/apple-touch-icon-144x144-precomposed.png	www.ansonika.com/citytours/img/apple-touch-icon-144x144-precomposed.png	(from http://www.ansonika.com/citytours/)
14:35:26	161409/161409	---M--	200	added ('OK')	text/css	etag:%2227681-5c29915cb8e44%22	http://www.ansonika.com/citytours/css/bootstrap.min.css	www.ansonika.com/citytours/css/bootstrap.min.css	(from http://www.ansonika.com/citytours/)
14:35:28	122067/122067	---M--	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2013:11:29%20GMT	http://www.ansonika.com/citytours/css/style.css	www.ansonika.com/citytours/css/style.css	(from http://www.ansonika.com/citytours/)
14:35:28	223881/223881	---M--	200	added ('OK')	text/css	etag:%2236a89-5c29916132a24%22	http://www.ansonika.com/citytours/css/vendors.css	www.ansonika.com/citytours/css/vendors.css	(from http://www.ansonika.com/citytours/)
